id,name,password,phone,is_active
1,"Drogerie Wien",$2a$04$sdXwbpWPpelofkNfGaheRu3ijHjW3oqWItNKbDkwJ6mfNasdkflasD,010-123-5678,1
2,"Fenelia Washbrook",$2a$04$sdXwbpWPpelofkNfGaheRu3ijHjW3oqWItNKbDkwJ6mfN4Y3nuUkW,496-351-5005,1
3,"Chariot Cleeton",$2a$04$LOJyk2jfC/87GkG9ZO1HwebgJ6bXt87KtEJcBN80S9C2tiSZBk2bC,860-996-7813,0
4,"Robbi Thomson",$2a$04$yhg0gO8YSivENWZ9iRpuou6qrWTwVkDU76zdVk5bJLso9hQqVSHdu,976-894-3107,0
5,"Cyndia Ivasechko",$2a$04$tWRrkQWGPSwqGlrlZp2z9.KBYbEbRQSREhL8.rfcx2jhsUq8h1JHO,105-429-7728,0
6,"Joleen Goodbar",$2a$04$jPfALWkbc0ObBchiTL3e0OTb.BFmEKUQCAc0ogdakrdHYhqxZJlGC,476-337-9583,0
7,"Jacki Didball",$2a$04$P1ba7WA92llvfIX0KkHNe.FPiEd./0GuWYZChDuoch3wqcB2UAnGe,476-871-5968,1
8,"Lou Barrs",$2a$04$1mdS1Sv/NdN7qKlqSY/P2eDQoZGnpTLflyEMqbBUdGKREnAzMvSGK,506-450-2857,0
9,"Maighdiln McCrum",$2a$04$VZn79Mx7YasGfuac8aFDGOSbidNvIkkHprHWXzdsTX6uVzKl2pP5G,552-802-8717,1
10,"Thacher Gravell",$2a$04$w6SV6iJEis8s01RYIF/p9.MWiRFfwDI6MO5e273yL9J9aQCHv2gwG,723-366-2090,1
11,"Fanya Capponeer",$2a$04$Q0ax9l1ObchuKsWMYUvHI...eV0Un7WAPMeSvvfBuRbTWL6N/6GYi,425-997-4897,1
12,"Tamera Bungey",$2a$04$tay3cbAii2DwT2J1kidKyOoSfJkpH6DSOR/YvHqIV0XrmQ9yHtNmq,407-651-7942,1
13,"Boniface Nobbs",$2a$04$stSPrZv.Zxl5dPBY5XYAceooy5ScaBslrKFVx9PQObK6ZbVCahj56,980-523-1379,0
14,"Carita Sallter",$2a$04$0JpDMtPT2i5rlimTS0daMuRPIEc0g3D.6LLYfWoXG4aUjgcKlAUSa,652-878-6695,0
15,"Rochette Beyn",$2a$04$KEVp4JHQ7jgVxie9klpyKODNUyCQ.KhwohejbRbR.2qymLgwH64r2,677-785-2657,0
16,"Win Blare",$2a$04$q/INJZKnwcNENyblx2ZQj.HdWdl2QyLIu9E3SSEwMG/VhT4OaCpBu,924-347-9849,1
17,"Valencia McAteer",$2a$04$wd7jrTxB2wn7dmrsStx/WerI0hDNp.GUBcHyxFOTN3OnDUxlkssv2,966-846-7032,0
18,"Orren Stivani",$2a$04$GOvmv2IoSbxH3x9ZAyHQOOvCVATbKC1rlh3C7325TfkOezNkn1MVi,769-869-0764,1
19,"Benji Waldram",$2a$04$nV5eUARZqqqOqdmaHdrcKOTm.h96u1vNTkuXYD3WPRvn7VH6OoD7.,704-468-9714,0
20,"Zechariah McGrae",$2a$04$yKOdSYH1zsByJ2nBipKxZuBKe5y4bC.HDjxq1McImvNaOZ6fQwBfi,725-711-8010,1
21,"Amalee Kilius",$2a$04$Gs/vZ/5uX9UAXcsaW2LqPOxygyEjIVnktF62gc3ibvEUeWQdvUTYW,839-556-8531,1
22,"Harcourt Dunford",$2a$04$oqxej271D9hf/Qz/Kkj.hOhu3uxqBFMsm6B8IZmMC1U9ZN3er2cdK,641-121-2379,0
23,"Minetta Knolles-Green",$2a$04$ENTFxxcaUfoIAwwUMAh9Y.GjZ/L8TxKNyCDQwxHiRCiWchH6AWwoG,583-804-6316,0
24,"Wynn Orleton",$2a$04$EoHwrP.ZCUixiX1sSxVsLeVZEMB.BzQ6takXKrPO70.g5jMcXzB5e,638-296-7727,0
25,"Sherwood Lacroix",$2a$04$7Vm2AT4c1jm8eVjjfkr0XenXHB1A9RYHeVUW2pepXKiEzcdQYNKt6,896-442-5196,1
26,"Ashby Rochford",$2a$04$bInh4fX/3nbyNGW4ngDCLeftBKCvGII7ajUr6NSVsEvJ7hFpl3g/.,107-105-4309,1
27,"Aldridge MacCafferky",$2a$04$z0hCIdXRS.B61sNse3Z4Je/9W/5ZxFGsCTSxmJoiFLJeK.vkJdtfW,508-774-0686,0
28,"Celesta Cod",$2a$04$Gy4gTcq7yUUIYIzmuHavruWy6tgbo5vDWTOb.sL.Bq9BxOLboNN5.,941-738-2812,1
29,"Anastasia Dockery",$2a$04$8KMxMb1tsohjf6j5VXJ2XeOhNaH6TgGKv4wymNPq1NL2rMc7Elk9O,910-623-3576,0
30,"Joshua Beecker",$2a$04$evVFOlYMEcCUTxIFYXIDPObBpNlHwVcn6/Nqlt4Kp.u7sLan.xOsG,275-577-0360,1
31,"Fanchette Beechcraft",$2a$04$6fLEvcYnHAYvY5B0jd3lqeudH4HChcSk1zwg41ZaPO2uBBW/h3dkC,403-687-8440,1
32,"Joe Griss",$2a$04$3A/P/9Zqy0O8U0RvrQbLLuSn8Sttu03.YY4VJm41N5K8oCanqQ7tS,775-452-0139,0
33,"Zeb Tenaunt",$2a$04$9gTV8SVpDW7x6RxGQW0nl.yYbf4Ip5VpS//NuQeAdpWq2ryIPjzIS,803-896-3881,1
34,"Lorrie McEvilly",$2a$04$LglpjBcrPkw0XM.bzvVRremMtbj65aNQHOxbtNe3h5bhp772zsyce,514-411-5258,0
35,"Miller De Caroli",$2a$04$BleVnGH6ZKVvjv7KxLV.pe8WpdqfmtpTcp5dHg3/vsP2y5fnepbuu,913-932-5794,1
