id,name,address,phone,city_id,is_active
1,"Barris Sabbatier","53805 Jay Circle",329-873-2509,1,0
2,"Eddie Ceney","9123 Scott Crossing",377-620-5253,2,0
3,"Eziechiele Hugland","9 Grim Parkway",780-685-9920,3,0
4,"Sheffield Ewence","222 Northland Way",318-255-5097,4,0
5,"Clair Gauvin","097 High Crossing Alley",462-400-1060,5,0
6,"Opal Gres","1 Sauthoff Lane",286-604-7347,6,0
7,"Danell Carriage","45 Crescent Oaks Hill",966-756-7062,7,0
8,"Bing Enderwick","08 6th Lane",502-501-4706,8,1
9,"Grissel Iacobucci","13800 Manufacturers Avenue",501-801-8267,9,0
10,"Pam Yter","96563 Prentice Park",517-455-5281,0,0
11,"Elihu Howship","640 Hagan Point",711-664-8830,1,0
12,"Nickie Peris","3189 Lakewood Lane",717-338-4330,2,1
13,"Ruth Silvers","8 Kings Parkway",794-690-9657,3,1
14,"Rosmunda Tilston","72 Schiller Crossing",422-180-2806,4,0
15,"Mandie Cawthorne","26 Thackeray Terrace",276-136-9188,5,0
16,"Cozmo Geroldi","61098 Elgar Plaza",208-863-0192,6,0
17,"Jeanie Pleager","620 Randy Point",551-839-0722,7,0
18,"Edee Kerslake","2675 Fair Oaks Trail",765-122-4960,8,1
19,"Loren Bufton","48 Crowley Plaza",346-831-5320,9,0
20,"Tawsha Linck","5 Mendota Drive",503-686-1105,0,0
21,"Marchall Garroway","89248 Logan Place",582-825-9707,1,1
22,"Timothea Durward","12694 Ramsey Road",594-749-2949,2,0
23,"Angelia Malby","2 Bay Alley",184-305-9869,3,0
24,"Myca Fanti","2 Bashford Plaza",473-489-5474,4,0
25,"Sancho Birchner","5518 Utah Trail",470-892-1679,5,1
26,"Humfrey Whitmore","7782 Swallow Plaza",363-896-7855,6,0
27,"Conchita Hilling","195 Schurz Hill",137-723-0884,7,1
28,"Arman Rillatt","11897 Charing Cross Drive",401-842-0304,8,0
29,"Ludovika Kimmerling","80 Corscot Street",278-770-0909,9,1
30,"Jen Dight","09 Artisan Road",937-982-7476,0,1
31,"Boothe Fehner","390 Gina Center",747-563-9124,1,1
32,"Denny Pennings","7414 Fordem Court",949-308-8376,2,1
33,"Rheba McJarrow","8597 Florence Point",861-720-3866,3,1
34,"Sully Estick","16 Bluestem Court",254-830-4145,4,1
35,"Stafford Blade","47 Hooker Lane",347-813-9337,5,1
36,"Bliss Taggert","26500 Lindbergh Park",927-695-6172,6,1
37,"Julian Davson","32 Texas Terrace",808-908-5592,7,1
38,"Junina Hempel","6 Canary Way",513-540-8532,8,0
39,"Hansiain Hearse","25639 West Road",923-575-1534,9,1
40,"Lorianne Writer","8 Bunting Center",402-299-9772,0,1
41,"Hunfredo Ennever","0 Thackeray Hill",746-510-0408,1,1
42,"El Hlavecek","07 Corry Plaza",566-862-2496,2,1
43,"Kittie Sokill","5 Lillian Center",274-139-5961,3,0
44,"Nari Tregian","93305 Gateway Place",861-160-9816,4,0
45,"Wyndham Armour","13 Grim Street",109-272-2819,5,0
46,"Mayne Dureden","234 Longview Junction",447-838-3597,6,0
47,"Aubrie Bushnell","1 Porter Lane",296-537-9718,7,0
48,"Quincey Winfield","1758 Westerfield Circle",835-462-7786,8,0
49,"Morley Kerrey","24 Brickson Park Way",218-857-3572,9,1
50,"Quintana Keysall","94 Schiller Street",846-258-2499,0,1
51,"Tremain Slateford","7947 Jenifer Road",337-836-3286,1,1
52,"Truman Corps","8268 Park Meadow Plaza",536-568-8953,2,1
53,"Enrika Wilber","317 Summerview Place",340-354-1402,3,1
54,"Ches Barukh","973 Bayside Street",597-243-7657,4,1
55,"Bart Kiddye","108 Mifflin Hill",894-399-8793,5,1
56,"Sherlocke Dibson","649 Mockingbird Way",232-110-1899,6,1
57,"Sapphira Funnell","124 Butternut Circle",785-308-4747,7,1
58,"Harcourt Tuohy","0 Moulton Junction",901-962-0045,8,1
59,"Andeee Huelin","794 North Drive",786-669-5228,9,0
60,"Reinold Cheel","166 Marcy Avenue",323-961-6314,0,1
61,"Tessi Ripley","5 Schurz Street",727-599-3770,1,1
62,"Lalo Elsey","23584 Corben Street",472-588-7368,2,1
63,"Phylis Bussen","66328 Marcy Way",892-153-5715,3,1
64,"Simeon Frake","03582 Sage Trail",929-398-7799,4,0
65,"Elinor Pech","390 Lunder Avenue",806-650-0498,5,0
66,"Nat Martschik","3097 Bellgrove Avenue",304-927-9119,6,0
67,"Elfrida Smurfit","304 8th Circle",153-693-3019,7,0
68,"Maighdiln Symmons","2845 Oakridge Road",743-389-6988,8,1
69,"Jaymie Greyes","9474 Crownhardt Street",461-477-1220,9,1
70,"Albertine Striker","26 Haas Avenue",812-553-0660,0,0
71,"Klara Pammenter","6 Kedzie Point",303-436-4985,1,0
72,"Gabbie Jiggen","5 Killdeer Park",766-801-7000,2,1
73,"Finley Panas","94271 Garrison Circle",138-436-4381,3,0
74,"Daniella Faircliffe","82426 Lerdahl Crossing",784-106-3439,4,0
75,"Zola Grane","273 Bluestem Point",201-288-3807,5,1
76,"Waylon Kemell","14 Sachtjen Road",434-656-7986,6,1
77,"Helen-elizabeth Skune","112 Anzinger Lane",403-603-9651,7,1
78,"Gracia Stanfield","785 Bellgrove Place",942-507-1347,8,1
79,"Myra Rimes","278 Meadow Ridge Plaza",775-817-3609,9,0
80,"Hubert Boorer","96 Warner Court",671-640-6175,0,0
81,"Jamesy Coldbathe","9564 Autumn Leaf Drive",779-765-2146,1,0
82,"Timothee Polleye","779 Towne Hill",356-385-3151,2,0
83,"Larisa Janousek","0 Corscot Drive",192-229-6041,3,1
84,"Ericka Croce","7 Red Cloud Crossing",178-175-6277,4,0
85,"Hillard Joskowitz","47 6th Terrace",347-139-6050,5,0
86,"Alon Polamontayne","7178 Fremont Junction",495-741-9479,6,0
87,"Jesse Schleicher","0537 Graceland Plaza",788-820-3258,7,1
88,"Mady Bogays","31046 Carioca Alley",373-946-0846,8,1
89,"Sue Boulden","0 Memorial Point",954-433-6783,9,0
90,"Christopher Wrettum","42979 Sloan Park",580-286-9104,0,1
91,"Carolynn Habeshaw","3 North Avenue",425-591-5081,1,1
92,"Desiree Danskine","31587 Columbus Park",516-175-0791,2,0
93,"Hobard Dougharty","1 Debs Terrace",962-434-5212,3,0
94,"Stacie Tripet","15 Linden Trail",997-967-5781,4,0
95,"Joelle Stoyles","002 Graedel Avenue",923-716-9312,5,1
96,"Rosco Prevost","78661 Gateway Plaza",187-791-7974,6,0
97,"Jordana Yarmouth","86 Dottie Court",701-438-1514,7,1
98,"Candy Stanfield","848 Aberg Road",817-733-3027,8,1
99,"Erika Demschke","8 Mccormick Drive",268-925-1111,9,0
100,"Jobyna Feldon","48 Crest Line Parkway",406-750-9849,0,1
101,"Ellerey Benton","76 Spohn Alley",735-634-6038,1,1
102,"Winifred Mangam","47445 Prairieview Point",221-384-0385,2,1
103,"Delano Cowton","75 Trailsway Road",479-613-5883,3,0
104,"Allissa Ixer","2 Pawling Plaza",173-596-2416,4,0
105,"Rancell Fedder","36 Transport Park",676-271-6895,5,0
106,"Alameda Carous","021 Bluestem Center",853-394-1509,6,1
107,"Zacharias Brennenstuhl","975 Katie Alley",128-824-3316,7,1
108,"Ranice Hardesty","67789 Hudson Alley",838-143-0291,8,1
109,"Lydon Pawlaczyk","38 Corben Trail",287-396-6404,9,1
110,"Allissa McAlpine","596 Shoshone Way",992-896-0083,0,0
111,"Arlyn Baddeley","18077 Meadow Ridge Street",695-995-5454,1,0
112,"Richie Pattle","0147 Bay Point",284-374-1906,2,0
113,"Norbie Gainsburgh","4646 Mitchell Court",240-653-5683,3,1
114,"Yardley Tunno","90 Iowa Avenue",510-228-4032,4,0
115,"Nyssa Frankiewicz","273 Larry Road",583-751-0008,5,0
116,"Natala McBratney","317 Fallview Parkway",110-526-9043,6,1
117,"Kerrill Cleave","7 Merry Point",125-864-7916,7,0
118,"Orville Somersett","51 Glacier Hill Terrace",122-971-2747,8,1
119,"Ada Bandiera","781 Prairieview Crossing",259-727-0264,9,0
120,"Laureen Hemphrey","99 Sheridan Trail",302-466-8528,0,1
121,"Carmon Pickthall","674 Annamark Way",254-178-4549,1,1
122,"Horatio Soule","40696 Darwin Court",621-714-4976,2,0
123,"Rivi Sowden","6 Londonderry Court",624-350-2487,3,1
124,"Cristionna Pallent","78 Hagan Court",452-199-0888,4,1
125,"Cornall Haxby","6 Hudson Alley",373-449-7647,5,1
126,"Gray Mibourne","5 Glacier Hill Court",747-668-3259,6,0
127,"Cindie Hassewell","88531 Old Gate Alley",775-154-8043,7,1
128,"Rurik Gourlie","25029 Golf Course Court",108-419-8290,8,1
129,"Elise Corthes","9770 4th Point",425-301-1110,9,0
130,"Christalle Jaggers","390 Artisan Avenue",569-943-1532,0,0
131,"Roth Sives","41249 Ryan Drive",547-875-0202,1,1
132,"Susanetta Macvain","13563 Kensington Avenue",237-478-1340,2,0
