customer_name,customer_phone,agent_name,agent_phone
"Nickie Peris",717-338-4330,"Tamera Bungey",407-651-7942
"Edee Kerslake",765-122-4960,"Orren Stivani",769-869-0764
"Marchall Garroway",582-825-9707,"Amalee Kilius",839-556-8531
"Sancho Birchner",470-892-1679,"Sherwood Lacroix",896-442-5196
"Jen Dight",937-982-7476,"Joshua Beecker",275-577-0360
"Boothe Fehner",747-563-9124,"Fanchette Beechcraft",403-687-8440
"Rheba McJarrow",861-720-3866,"Zeb Tenaunt",803-896-3881
"Stafford Blade",347-813-9337,"Miller De Caroli",913-932-5794
"Morley Kerrey",218-857-3572,"Alethea Ealden",274-288-2429
"Tremain Slateford",337-836-3286,"Hunfredo Acarson",315-448-0635
"Enrika Wilber",340-354-1402,"Moira McGlew",465-264-6063
"Sapphira Funnell",785-308-4747,"Rebecca Redihalgh",728-251-0737
"Harcourt Tuohy",901-962-0045,"Judye Relfe",549-752-8398
"Reinold Cheel",323-961-6314,"Araldo Tracey",500-551-7556
"Tessi Ripley",727-599-3770,"Maia Jentin",965-649-7134
"Maighdiln Symmons",743-389-6988,"Christean Petel",502-569-3985
"Gabbie Jiggen",766-801-7000,"Claiborn Olennikov",829-626-4524
"Larisa Janousek",192-229-6041,"Beitris Avon",453-443-8348
"Mady Bogays",373-946-0846,"Kenyon Fisk",939-923-2765
"Joelle Stoyles",923-716-9312,"Pryce Chaunce",860-351-8536
"Candy Stanfield",817-733-3027,"Lina Kincey",716-501-1458
"Jobyna Feldon",406-750-9849,"Jonie Harrower",146-252-8117
"Alameda Carous",853-394-1509,"Cyb Van Velden",100-137-8529
"Carmon Pickthall",254-178-4549,"Regan Chieze",130-262-2523
"Cindie Hassewell",775-154-8043,"Elsey Bedlington",373-454-6123
"Rurik Gourlie",108-419-8290,"Verine Dennert",571-586-4454
"Roth Sives",547-875-0202,"George Warrender",551-747-5107
"Denys Muncaster",547-254-5995,"Rachelle Cradock",895-969-8850
"Ken Greetland",424-731-2931,"Amerigo Blainey",482-615-4746
"Sandy Warrior",546-798-4607,"Jayme Yellowlee",415-740-9055
"Isabel Piddlesden",325-978-6643,"Donnell Northcott",110-193-3557
"Rona Middlemass",541-348-3798,"Wilfred Bernardotti",291-827-0277
"Katine Krelle",289-678-7823,"Brian Petyt",468-813-9429
"Teresa Dies",510-536-7407,"Ruggiero Simmonett",941-566-7709
"Sven Hanwell",382-283-1781,"Renelle Malthus",487-624-4819
"Sonya Rabjohn",405-343-2410,"Nikola McLaughlan",466-108-1912
"Traver Andreini",560-461-5812,"Franklyn Edelheid",216-826-0519
"Wrennie Arnely",699-508-9623,"Fidel Abrashkov",833-190-4943
"Augustin Sudlow",401-384-4991,"Teador Votier",201-994-6853
"Joaquin Brager",639-858-3369,"Vally Beelby",736-226-6343
"Dolores Bartolomeoni",469-150-7982,"Pippy Leckie",863-520-9036
"Neville Layzell",519-293-6973,"Amie Rawstorne",982-193-6641
"Bobbee Milburne",667-613-0231,"Jenda Linsley",815-194-6176
"Gifford Gueny",603-877-4810,"Janey Stuchbery",835-939-1921
"Shea Grimestone",329-639-0436,"Joe Satteford",892-748-3911
"Dan Blackbrough",456-250-2205,"Crista Southerill",473-845-3104
"Benjamen Flagg",973-924-9689,"Rhetta Walton",114-967-8271
"Sal Triswell",500-825-2693,"Janean Dudding",719-587-7941
"Em Neve",808-401-2372,"Irwin Prahm",694-567-7046
"Lane Graalmans",471-761-0090,"Eustacia Fain",579-906-5882
"Hilario Klement",910-968-9182,"Nell Lomb",413-991-5857
"Lucila Stollenhof",919-225-0372,"Cullen Corrie",398-240-3741
"Violet McErlaine",786-730-4085,"Gracia Murt",236-502-5213
"Clarisse Escalante",982-617-6390,"Holmes Overthrow",271-855-6761
"Eleen Horsley",861-471-3399,"Lynnelle Guice",584-893-2247
"Elysha Swarbrigg",127-805-0623,"Evelina Garmon",449-161-0132
"Liz Dewhirst",880-281-0656,"Conny Janauschek",268-754-7368
